method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;best cf index
AB-CF;35.5 ± 20.93;3416.05 ± 1308.48;0.48 ± 0.18;3265.18 ± 998.67;74.65 ± 14.21;0.31 ± 0.12;0.9 ± 0.3;nan ± nan;0.74 ± 0.16;0.35 ± 0.19;0.18 ± 0.3;0.09 ± 0.1;0.03 ± 0.04;0.01 ± 0.04;9.55 ± 4.93;0.0 ± 0.0;1.35 ± 1.32;0.0 ± 0.0
COMTE;35.5 ± 20.93;3590.75 ± 1.9;0.5 ± 0.0;3491.58 ± 684.79;79.42 ± 10.52;0.66 ± 0.13;0.99 ± 0.12;nan ± nan;0.75 ± 0.18;0.4 ± 0.27;0.25 ± 0.3;0.12 ± 0.14;0.13 ± 0.2;0.14 ± 0.26;3.25 ± 1.9;0.0 ± 0.0;1309.57 ± 128.66;0.0 ± 0.0
Multi-SpaCE;35.5 ± 20.93;1600.29 ± 1537.69;0.22 ± 0.21;1476.46 ± 1242.08;47.36 ± 21.06;0.28 ± 0.08;1.0 ± 0.0;1.0 ± 0.0;0.76 ± 0.2;0.33 ± 0.19;0.14 ± 0.18;0.1 ± 0.11;0.01 ± 0.02;0.01 ± 0.02;41.69 ± 34.39;0.01 ± 0.01;220.96 ± 82.82;17.54 ± 28.18
