ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;method;best cf index;order;dataset
20;68.0;0.11333333333333333;122.23767699999999;17.732934953949304;0.9328347444534302;True;1.0;0.14441332655926759;0.06519983633267365;0.0;0.005977930309646856;0.0;0.0;6.0;0.02;113.04455971717834;Multi-SpaCE ($p^p=0.75$);15;2;BasicMotions
21;106.0;0.17666666666666667;364.075137;42.31560658880164;0.8332458138465881;True;1.0;0.27136870002175;0.1684585169961515;3.259174505365209e-16;0.0;0.0;0.0;2.0;0.006666666666666667;115.40507102012634;Multi-SpaCE ($p^p=0.75$);9;2;BasicMotions
22;201.0;0.335;456.241221;40.14820191535588;0.607761561870575;True;1.0;0.173776863967365;0.134525453576472;2.1727830035768062e-16;0.0;0.0;0.0;3.0;0.01;114.16318345069885;Multi-SpaCE ($p^p=0.75$);35;2;BasicMotions
23;57.0;0.095;147.365706;21.63349546969218;0.617594838142395;True;1.0;0.19056784387974182;0.13048609605753317;2.1727830035768062e-16;0.019336395330345785;0.0;0.0;1.0;0.0033333333333333335;116.1342225074768;Multi-SpaCE ($p^p=0.75$);17;2;BasicMotions
24;150.0;0.25;314.244092;31.455145801317503;0.7330989241600037;True;1.0;0.1907604014690661;0.12236002014502657;2.1727830035768062e-16;0.0;0.0;0.0;5.0;0.016666666666666666;111.96766948699951;Multi-SpaCE ($p^p=0.75$);4;2;BasicMotions
25;59.0;0.09833333333333333;176.97612099999998;25.75380960183516;0.9479080438613892;True;1.0;0.206167182923529;0.1777345392097506;2.1727830035768062e-16;0.01194746985199871;0.0;2.1727830035768062e-16;1.0;0.0033333333333333335;112.50188636779785;Multi-SpaCE ($p^p=0.75$);0;2;BasicMotions
26;60.0;0.1;158.882026;22.604775401508416;0.9110047221183777;True;1.0;0.1857267401507559;0.1331124746568981;5.431957508942016e-16;0.01840614371780719;0.0;3.259174505365209e-16;1.0;0.0033333333333333335;116.7883780002594;Multi-SpaCE ($p^p=0.75$);78;2;BasicMotions
27;107.0;0.17833333333333334;233.890142;30.907939988599953;0.5471950769424438;True;1.0;0.2103872966029766;0.10553010687578997;2.1727830035768062e-16;0.0;0.0;0.0;7.0;0.023333333333333334;115.83448457717896;Multi-SpaCE ($p^p=0.75$);94;2;BasicMotions
28;58.0;0.09666666666666666;153.55076400000002;22.98021561643698;0.8551868200302124;True;1.0;0.165326244622052;0.1143647153296632;2.1727830035768062e-16;0.020385220787116493;0.0;0.0;1.0;0.0033333333333333335;119.35966205596924;Multi-SpaCE ($p^p=0.75$);78;2;BasicMotions
29;72.0;0.12;206.40718099999998;27.061948009077188;0.9652214050292969;True;1.0;0.18913626990163848;0.13114695475747137;2.1727830035768062e-16;0.017369074774928772;0.0;0.0;2.0;0.006666666666666667;111.26260733604431;Multi-SpaCE ($p^p=0.75$);29;2;BasicMotions
30;174.0;0.29;681.37374;87.73007746593014;0.7090561389923096;True;1.0;0.39060920067474564;0.28415685527462614;2.1727830035768062e-16;0.0;0.0;0.0;12.0;0.04;113.08950996398926;Multi-SpaCE ($p^p=0.75$);27;2;BasicMotions
31;32.0;0.05333333333333334;282.169878;60.78953466690519;0.61594557762146;True;1.0;0.6603588419354017;0.6407017263862042;0.08787150099554365;0.007698279957201737;0.0;0.0;4.0;0.013333333333333334;115.93132090568542;Multi-SpaCE ($p^p=0.75$);3;2;BasicMotions
32;97.0;0.16166666666666665;616.0254420000001;87.42888937661074;0.38252562284469604;True;1.0;0.5108381813862831;0.42127045776317695;3.259174505365209e-16;0.0;0.0;0.0;9.0;0.03;114.40497612953186;Multi-SpaCE ($p^p=0.75$);6;2;BasicMotions
33;114.0;0.19;661.295672;89.64935129618235;0.7161640524864197;True;1.0;0.5091938124148947;0.329433584992806;0.009173236334028636;0.0;0.0;0.0;18.0;0.06;117.85871124267578;Multi-SpaCE ($p^p=0.75$);81;2;BasicMotions
