method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;best cf index
AB-CF;68.51 ± 38.95;284.7 ± 108.58;0.46 ± 0.18;201.06 ± 112.4;14.43 ± 5.94;0.66 ± 0.14;0.69 ± 0.46;nan ± nan;0.59 ± 0.16;0.31 ± 0.16;0.12 ± 0.14;0.02 ± 0.04;0.01 ± 0.04;0.01 ± 0.02;9.48 ± 3.32;0.03 ± 0.01;1.14 ± 1.07;0.0 ± 0.0
COMTE;68.51 ± 38.95;475.64 ± 139.29;0.77 ± 0.23;354.77 ± 142.48;20.11 ± 6.55;0.99 ± 0.01;1.0 ± 0.0;nan ± nan;0.48 ± 0.13;0.24 ± 0.15;0.07 ± 0.09;0.05 ± 0.09;0.05 ± 0.08;0.02 ± 0.07;4.55 ± 2.05;0.01 ± 0.01;1447.82 ± 191.32;0.0 ± 0.0
Multi-SpaCE;68.51 ± 38.95;99.17 ± 57.39;0.16 ± 0.09;80.84 ± 44.02;9.44 ± 3.61;0.63 ± 0.13;1.0 ± 0.0;1.0 ± 0.0;0.61 ± 0.22;0.34 ± 0.2;0.16 ± 0.19;0.03 ± 0.04;0.02 ± 0.04;0.0 ± 0.0;6.01 ± 4.25;0.02 ± 0.01;47.11 ± 9.26;25.95 ± 25.6
DiscoX;68.51 ± 38.95;148.58 ± 55.23;0.24 ± 0.09;114.2 ± 64.67;11.63 ± 5.3;0.45 ± 0.06;0.69 ± 0.46;nan ± nan;0.58 ± 0.18;0.3 ± 0.22;0.14 ± 0.16;0.06 ± 0.07;0.03 ± 0.07;0.03 ± 0.08;27.43 ± 31.1;0.09 ± 0.1;621.81 ± 444.1;0.0 ± 0.0
