method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;best cf index
AB-CF;679.81 ± 418.95;813.37 ± 408.24;0.5 ± 0.25;558.18 ± 324.72;30.77 ± 14.56;0.64 ± 0.16;1.0 ± 0.0;nan ± nan;0.82 ± 0.16;0.47 ± 0.25;2.68 ± 4.01;0.11 ± 0.12;0.14 ± 0.2;2.22 ± 3.99;2.26 ± 0.86;0.0 ± 0.0;1.84 ± 1.41;0.0 ± 0.0
Multi-SpaCE ($p^p=0.75$);679.81 ± 418.95;311.33 ± 563.63;0.19 ± 0.34;247.24 ± 406.56;18.71 ± 15.89;0.74 ± 0.2;1.0 ± 0.0;1.0 ± 0.0;0.8 ± 0.13;0.4 ± 0.22;0.74 ± 1.16;0.08 ± 0.1;0.06 ± 0.15;0.28 ± 1.12;3.9 ± 4.68;0.0 ± 0.01;849.95 ± 442.08;43.79 ± 35.21
Multi-SpaCE ($p^p=0.5$);679.81 ± 418.95;285.59 ± 540.97;0.17 ± 0.33;238.49 ± 400.21;18.71 ± 15.98;0.73 ± 0.19;1.0 ± 0.0;1.0 ± 0.0;0.79 ± 0.12;0.39 ± 0.22;0.58 ± 0.51;0.07 ± 0.08;0.05 ± 0.15;0.13 ± 0.47;3.34 ± 2.74;0.0 ± 0.0;864.79 ± 431.6;38.87 ± 33.71
DiscoX;679.81 ± 418.95;609.13 ± 292.45;0.37 ± 0.18;425.95 ± 209.36;26.7 ± 11.01;0.44 ± 0.05;1.0 ± 0.0;nan ± nan;0.63 ± 0.14;0.31 ± 0.21;0.81 ± 1.41;0.01 ± 0.04;0.02 ± 0.06;0.39 ± 1.39;25.7 ± 35.31;0.03 ± 0.04;5552.49 ± 3899.53;0.0 ± 0.0
NG;679.81 ± 418.95;447.54 ± 271.34;0.27 ± 0.17;423.09 ± 225.24;30.55 ± 12.17;0.48 ± 0.08;1.0 ± 0.0;nan ± nan;0.79 ± 0.16;0.41 ± 0.21;1.49 ± 2.37;0.08 ± 0.09;0.08 ± 0.1;1.04 ± 2.31;1.0 ± 0.0;0.0 ± 0.0;276.3 ± 210.95;0.0 ± 0.0
