method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;best cf index
AB-CF;2029.67 ± 1160.55;65.28 ± 34.51;0.51 ± 0.27;45.19 ± 18.94;7.76 ± 1.54;0.9 ± 0.15;1.0 ± 0.0;nan ± nan;0.75 ± 0.15;0.63 ± 0.16;0.69 ± 0.21;0.14 ± 0.13;0.05 ± 0.09;0.03 ± 0.06;2.23 ± 0.81;0.03 ± 0.01;1.46 ± 1.14;0.0 ± 0.0
MS-SpaCE;2029.67 ± 1160.55;13.23 ± 4.57;0.1 ± 0.04;20.37 ± 6.66;5.75 ± 1.03;0.92 ± 0.11;1.0 ± 0.0;1.0 ± 0.0;0.65 ± 0.11;0.65 ± 0.18;0.67 ± 0.23;0.04 ± 0.04;0.07 ± 0.09;0.03 ± 0.06;1.16 ± 0.37;0.02 ± 0.01;48.86 ± 6.67;48.76 ± 30.79
DiscoX;2029.67 ± 1160.55;43.15 ± 25.84;0.34 ± 0.2;25.92 ± 15.01;5.6 ± 1.72;0.49 ± 0.06;0.99 ± 0.1;nan ± nan;1.03 ± 0.25;0.5 ± 0.19;0.41 ± 0.35;0.42 ± 0.24;0.01 ± 0.04;0.0 ± 0.01;4.78 ± 2.31;0.07 ± 0.04;241.21 ± 322.84;0.0 ± 0.0
NG;2029.67 ± 1160.55;49.13 ± 31.78;0.38 ± 0.25;33.02 ± 16.67;6.56 ± 1.71;0.69 ± 0.17;1.0 ± 0.0;nan ± nan;0.74 ± 0.15;0.64 ± 0.18;0.71 ± 0.21;0.13 ± 0.11;0.05 ± 0.08;0.03 ± 0.07;1.0 ± 0.0;0.02 ± 0.0;5.49 ± 3.52;0.0 ± 0.0
