method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;best cf index
AB-CF;167.28 ± 108.07;1294.14 ± 743.58;0.48 ± 0.27;105.83 ± 91.47;3.44 ± 2.04;0.74 ± 0.15;0.87 ± 0.34;nan ± nan;0.32 ± 0.05;0.11 ± 0.09;0.03 ± 0.02;0.07 ± 0.05;0.0 ± 0.01;0.0 ± 0.0;2.37 ± 0.81;0.0 ± 0.0;3.4 ± 1.8;0.0 ± 0.0
Multi-SpaCE ($p^p=0.75$);167.28 ± 108.07;28.71 ± 16.57;0.01 ± 0.01;2.97 ± 2.3;0.57 ± 0.29;0.89 ± 0.06;1.0 ± 0.0;1.0 ± 0.0;0.3 ± 0.07;0.12 ± 0.1;0.03 ± 0.02;0.06 ± 0.06;0.0 ± 0.0;0.0 ± 0.0;2.48 ± 1.39;0.0 ± 0.0;2183.87 ± 40.58;56.21 ± 30.45
Multi-SpaCE ($p^p=0.5$);167.28 ± 108.07;28.45 ± 16.11;0.01 ± 0.01;2.88 ± 2.04;0.56 ± 0.25;0.9 ± 0.06;1.0 ± 0.0;1.0 ± 0.0;0.3 ± 0.06;0.12 ± 0.1;0.03 ± 0.02;0.05 ± 0.05;0.0 ± 0.0;0.0 ± 0.0;2.5 ± 1.21;0.0 ± 0.0;2176.8 ± 51.99;52.79 ± 30.0
DiscoX;167.28 ± 108.07;1053.83 ± 557.27;0.39 ± 0.21;177.66 ± 217.44;6.87 ± 7.4;0.52 ± 0.02;0.94 ± 0.24;nan ± nan;0.48 ± 0.36;0.17 ± 0.12;0.1 ± 0.15;0.24 ± 0.35;0.05 ± 0.07;0.07 ± 0.15;90.98 ± 77.42;0.07 ± 0.06;5462.97 ± 7074.98;0.0 ± 0.0
Glacier(AE);167.28 ± 108.07;2709.0 ± 0.0;1.0 ± 0.0;12.27 ± 1.32;0.31 ± 0.03;0.51 ± 0.01;0.99 ± 0.1;nan ± nan;0.26 ± 0.02;0.12 ± 0.1;0.03 ± 0.02;0.02 ± 0.02;0.0 ± 0.0;0.0 ± 0.0;1.0 ± 0.0;0.0 ± 0.0;1377.9 ± 285.04;0.0 ± 0.0
Glacier;167.28 ± 108.07;2709.0 ± 0.0;1.0 ± 0.0;6.15 ± 2.78;0.14 ± 0.07;0.5 ± 0.0;1.0 ± 0.0;nan ± nan;0.26 ± 0.02;0.12 ± 0.1;0.03 ± 0.02;0.01 ± 0.01;0.0 ± 0.0;0.0 ± 0.0;1.0 ± 0.0;0.0 ± 0.0;797.31 ± 69.38;0.0 ± 0.0
NG;167.28 ± 108.07;826.37 ± 496.53;0.31 ± 0.18;61.45 ± 47.69;2.45 ± 1.41;0.57 ± 0.12;1.0 ± 0.0;nan ± nan;0.27 ± 0.03;0.12 ± 0.1;0.03 ± 0.02;0.03 ± 0.02;0.01 ± 0.01;0.0 ± 0.0;1.0 ± 0.0;0.0 ± 0.0;2518.64 ± 2058.6;0.0 ± 0.0
