method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;best cf index
AB-CF;977.63 ± 568.84;56.38 ± 30.61;0.43 ± 0.23;41.5 ± 22.59;6.92 ± 2.63;0.57 ± 0.19;0.95 ± 0.22;nan ± nan;0.6 ± 0.16;0.47 ± 0.16;0.29 ± 0.24;0.06 ± 0.09;0.05 ± 0.1;0.05 ± 0.12;2.49 ± 1.05;0.04 ± 0.02;1.18 ± 1.08;0.0 ± 0.0
Multi-SpaCE;977.63 ± 568.84;16.99 ± 11.1;0.13 ± 0.08;17.13 ± 9.92;4.9 ± 1.79;0.58 ± 0.19;1.0 ± 0.0;1.0 ± 0.0;0.56 ± 0.16;0.46 ± 0.18;0.27 ± 0.23;0.02 ± 0.04;0.03 ± 0.04;0.02 ± 0.03;1.88 ± 0.98;0.03 ± 0.01;52.56 ± 8.12;40.88 ± 33.92
DiscoX;977.63 ± 568.84;73.47 ± 28.17;0.56 ± 0.22;53.14 ± 24.31;7.89 ± 2.67;0.26 ± 0.08;0.95 ± 0.22;nan ± nan;0.65 ± 0.12;0.46 ± 0.15;0.28 ± 0.2;0.13 ± 0.15;0.07 ± 0.12;0.08 ± 0.15;4.92 ± 2.69;0.08 ± 0.04;1316.99 ± 1139.74;0.0 ± 0.0
NG;977.63 ± 568.84;49.15 ± 28.76;0.38 ± 0.22;29.7 ± 17.8;5.36 ± 2.3;0.46 ± 0.15;1.0 ± 0.0;nan ± nan;0.53 ± 0.16;0.43 ± 0.18;0.27 ± 0.26;0.02 ± 0.04;0.04 ± 0.07;0.03 ± 0.06;1.0 ± 0.0;0.02 ± 0.0;5.62 ± 3.29;0.0 ± 0.0
