method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;best cf index
AB-CF;145.05 ± 81.17;1168.62 ± 184.93;0.9 ± 0.14;1085.97 ± 397.01;39.43 ± 11.74;0.91 ± 0.2;0.4 ± 0.49;nan ± nan;0.8 ± 0.14;0.55 ± 0.16;0.43 ± 0.23;0.19 ± 0.14;0.11 ± 0.13;0.15 ± 0.16;10.6 ± 4.55;0.02 ± 0.01;2.03 ± 1.24;0.0 ± 0.0
Multi-SpaCE ($p^p=0.75$);145.05 ± 81.17;249.01 ± 207.35;0.19 ± 0.16;221.5 ± 152.23;16.52 ± 5.91;0.52 ± 0.16;1.0 ± 0.0;1.0 ± 0.0;0.66 ± 0.15;0.48 ± 0.19;0.3 ± 0.18;0.05 ± 0.05;0.04 ± 0.05;0.03 ± 0.05;7.03 ± 5.04;0.01 ± 0.01;198.99 ± 39.96;15.96 ± 23.29
COMTE;145.05 ± 81.17;423.05 ± 90.15;0.33 ± 0.07;435.43 ± 138.39;25.8 ± 5.74;0.73 ± 0.26;0.97 ± 0.17;nan ± nan;0.8 ± 0.2;0.5 ± 0.19;0.32 ± 0.23;0.17 ± 0.14;0.05 ± 0.07;0.06 ± 0.11;2.97 ± 0.65;0.0 ± 0.0;1796.74 ± 277.46;0.0 ± 0.0
Multi-SpaCE ($p^p=0.5$);145.05 ± 81.17;221.75 ± 132.6;0.17 ± 0.1;209.61 ± 116.09;16.33 ± 5.38;0.55 ± 0.17;1.0 ± 0.0;1.0 ± 0.0;0.66 ± 0.15;0.5 ± 0.2;0.3 ± 0.19;0.04 ± 0.05;0.04 ± 0.06;0.03 ± 0.05;6.7 ± 3.41;0.01 ± 0.01;202.27 ± 40.82;12.49 ± 14.41
DiscoX;145.05 ± 81.17;138.67 ± 37.72;0.11 ± 0.03;70.61 ± 38.55;10.18 ± 2.98;0.32 ± 0.1;0.09 ± 0.29;nan ± nan;0.65 ± 0.13;0.32 ± 0.16;0.16 ± 0.12;0.04 ± 0.05;0.01 ± 0.02;0.0 ± 0.0;52.78 ± 28.02;0.08 ± 0.04;19126.42 ± 12144.47;0.0 ± 0.0
