method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;outlier_score;increase_outlier_score;subsequences;subsequences %;times;best cf index
AB-CF;158.34 ± 94.01;13.95 ± 5.43;0.58 ± 0.23;1938.83 ± 920.83;609.33 ± 235.62;0.66 ± 0.1;1.0 ± 0.0;nan ± nan;0.67 ± 0.08;0.02 ± 0.02;1.82 ± 0.41;0.15 ± 0.03;0.49 ± 0.19;0.0 ± 0.0
multisubspace_gknn_75_0_25;158.34 ± 94.01;3.69 ± 1.96;0.15 ± 0.08;772.58 ± 351.69;429.72 ± 142.81;0.61 ± 0.1;1.0 ± 0.0;1.0 ± 0.0;0.68 ± 0.09;0.02 ± 0.02;1.28 ± 0.47;0.11 ± 0.04;34.77 ± 7.72;41.19 ± 36.54
DiscoX;158.34 ± 94.01;11.28 ± 4.81;0.47 ± 0.2;2769.29 ± 1965.91;923.92 ± 592.35;0.51 ± 0.01;0.76 ± 0.43;nan ± nan;0.69 ± 0.13;0.06 ± 0.08;1.26 ± 0.62;0.11 ± 0.05;42.61 ± 33.34;0.0 ± 0.0
Glacier(AE);158.34 ± 94.01;24.0 ± 0.0;1.0 ± 0.0;13499.01 ± 1656.41;3599.27 ± 431.99;0.78 ± 0.0;0.63 ± 0.49;nan ± nan;0.0 ± 0.0;0.0 ± 0.0;1.0 ± 0.0;0.08 ± 0.0;66.04 ± 20.34;0.0 ± 0.0
Glacier;158.34 ± 94.01;nan ± nan;nan ± nan;nan ± nan;nan ± nan;nan ± nan;0.0 ± 0.0;nan ± nan;nan ± nan;nan ± nan;nan ± nan;nan ± nan;40.27 ± 19.45;0.0 ± 0.0
NG;158.34 ± 94.01;6.54 ± 5.71;0.27 ± 0.24;896.47 ± 686.53;426.82 ± 189.83;0.57 ± 0.06;1.0 ± 0.0;nan ± nan;0.68 ± 0.08;0.02 ± 0.01;1.02 ± 0.14;0.08 ± 0.01;1.08 ± 0.82;0.0 ± 0.0
