method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;best cf index
AB-CF;545.74 ± 297.62;13.25 ± 4.7;0.55 ± 0.2;4.6 ± 2.62;1.52 ± 0.74;0.74 ± 0.17;0.48 ± 0.5;nan ± nan;0.62 ± 0.18;0.23 ± 0.17;0.09 ± 0.16;0.08 ± 0.09;0.02 ± 0.03;0.02 ± 0.04;2.67 ± 0.78;0.22 ± 0.07;1.84 ± 1.26;0.0 ± 0.0
Multi-SpaCE ($p^p=0.75$);545.74 ± 297.62;6.22 ± 5.01;0.26 ± 0.21;3.4 ± 2.61;1.53 ± 0.73;0.84 ± 0.13;1.0 ± 0.0;1.0 ± 0.0;0.61 ± 0.23;0.22 ± 0.2;0.1 ± 0.2;0.06 ± 0.07;0.01 ± 0.02;0.01 ± 0.03;1.22 ± 0.48;0.1 ± 0.04;76.7 ± 12.18;46.0 ± 35.14
DiscoX;545.74 ± 297.62;12.21 ± 4.91;0.51 ± 0.2;5.57 ± 3.39;1.95 ± 1.11;0.53 ± 0.03;0.39 ± 0.49;nan ± nan;0.96 ± 0.41;0.32 ± 0.19;0.14 ± 0.18;0.41 ± 0.36;0.13 ± 0.12;0.07 ± 0.13;1.79 ± 1.32;0.15 ± 0.11;52.63 ± 29.14;0.0 ± 0.0
Glacier(AE);545.74 ± 297.62;24.0 ± 0.0;1.0 ± 0.0;4.8 ± 2.58;1.28 ± 0.71;0.67 ± 0.18;0.13 ± 0.34;nan ± nan;0.26 ± 0.19;0.22 ± 0.18;0.08 ± 0.12;0.0 ± 0.0;0.02 ± 0.03;0.0 ± 0.0;1.0 ± 0.0;0.08 ± 0.0;205.14 ± 54.65;0.0 ± 0.0
Glacier;545.74 ± 297.62;24.0 ± 0.0;1.0 ± 0.0;1.58 ± 0.8;0.39 ± 0.19;0.55 ± 0.04;0.06 ± 0.24;nan ± nan;0.77 ± 0.21;0.41 ± 0.21;0.3 ± 0.23;0.03 ± 0.04;0.02 ± 0.03;0.0 ± 0.0;1.0 ± 0.0;0.08 ± 0.0;87.76 ± 24.18;0.0 ± 0.0
NG;545.74 ± 297.62;16.95 ± 4.04;0.71 ± 0.17;5.2 ± 2.52;1.65 ± 0.74;0.85 ± 0.17;1.0 ± 0.0;nan ± nan;0.55 ± 0.2;0.23 ± 0.19;0.11 ± 0.2;0.04 ± 0.09;0.03 ± 0.05;0.01 ± 0.03;1.0 ± 0.0;0.08 ± 0.0;5.46 ± 1.81;0.0 ± 0.0
