method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;outlier_score;increase_outlier_score;subsequences;subsequences %;times;best cf index
AB-CF;2252.07 ± 1214.06;99.75 ± 56.71;0.71 ± 0.41;61.54 ± 43.39;7.81 ± 4.51;0.26 ± 0.04;0.08 ± 0.27;nan ± nan;0.54 ± 0.28;0.17 ± 0.21;1.25 ± 0.71;0.02 ± 0.01;1.74 ± 1.04;0.0 ± 0.0
multisubspace_gknn_75_0_25;2252.07 ± 1214.06;42.95 ± 19.09;0.31 ± 0.14;42.59 ± 13.22;7.59 ± 1.55;0.23 ± 0.02;1.0 ± 0.0;1.0 ± 0.0;0.38 ± 0.19;0.14 ± 0.1;2.27 ± 0.97;0.03 ± 0.01;93.29 ± 227.27;42.98 ± 32.79
DiscoX;2252.07 ± 1214.06;70.53 ± 31.67;0.5 ± 0.23;64.14 ± 35.84;10.06 ± 3.84;0.22 ± 0.01;0.34 ± 0.48;nan ± nan;0.55 ± 0.35;0.3 ± 0.37;4.94 ± 4.13;0.07 ± 0.06;1207.36 ± 731.78;0.0 ± 0.0
NG;2252.07 ± 1214.06;115.54 ± 29.24;0.83 ± 0.21;62.15 ± 18.97;7.73 ± 1.74;0.23 ± 0.01;1.0 ± 0.0;nan ± nan;0.39 ± 0.12;0.17 ± 0.13;1.0 ± 0.0;0.01 ± 0.0;13.05 ± 3.38;0.0 ± 0.0
