method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;best cf index
AB-CF;84.74 ± 51.5;74713.64 ± 26798.25;0.54 ± 0.19;1421.49 ± 778.7;10.55 ± 3.35;0.65 ± 0.21;0.78 ± 0.42;nan ± nan;0.5 ± 0.1;0.81 ± 0.11;0.92 ± 0.09;0.02 ± 0.03;0.04 ± 0.07;0.02 ± 0.09;1943.78 ± 505.24;0.03 ± 0.01;6.64 ± 1.22;0.0 ± 0.0
COMTE;84.74 ± 51.5;5067.47 ± 15650.71;0.04 ± 0.11;173.44 ± 520.99;4.48 ± 2.84;0.49 ± 0.07;0.77 ± 0.42;nan ± nan;0.54 ± 0.12;0.77 ± 0.16;0.94 ± 0.11;0.01 ± 0.02;0.01 ± 0.01;0.0 ± 0.01;52.03 ± 134.64;0.0 ± 0.0;16499.18 ± 14344.96;0.0 ± 0.0
Multi-SpaCE;84.74 ± 51.5;15739.87 ± 8107.52;0.11 ± 0.06;308.53 ± 210.25;5.04 ± 2.26;0.82 ± 0.11;1.0 ± 0.0;1.0 ± 0.0;0.51 ± 0.13;0.78 ± 0.14;0.95 ± 0.09;0.0 ± 0.01;0.01 ± 0.03;0.01 ± 0.02;1123.77 ± 509.05;0.02 ± 0.01;408.85 ± 45.27;41.06 ± 29.18
DiscoX;84.74 ± 51.5;nan ± nan;nan ± nan;nan ± nan;nan ± nan;nan ± nan;0.0 ± 0.0;nan ± nan;nan ± nan;nan ± nan;nan ± nan;nan ± nan;nan ± nan;nan ± nan;nan ± nan;nan ± nan;10722.68 ± 3510.57;0.0 ± 0.0
