method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;best cf index
AB-CF;453.74 ± 263.51;49.44 ± 23.47;0.39 ± 0.18;38.13 ± 18.82;6.71 ± 2.41;0.54 ± 0.09;1.0 ± 0.0;nan ± nan;0.99 ± 0.08;0.51 ± 0.2;0.14 ± 0.14;0.1 ± 0.08;0.04 ± 0.08;0.02 ± 0.04;2.11 ± 0.84;0.03 ± 0.01;1.12 ± 1.05;0.0 ± 0.0
Multi-SpaCE;453.74 ± 263.51;16.38 ± 10.45;0.13 ± 0.08;18.67 ± 10.92;5.05 ± 1.78;0.45 ± 0.05;1.0 ± 0.0;1.0 ± 0.0;0.94 ± 0.06;0.46 ± 0.18;0.14 ± 0.14;0.05 ± 0.04;0.01 ± 0.03;0.01 ± 0.02;1.64 ± 0.72;0.03 ± 0.01;46.83 ± 3.64;42.17 ± 33.29
DiscoX;453.74 ± 263.51;53.37 ± 24.22;0.42 ± 0.19;38.35 ± 23.79;6.31 ± 2.6;0.42 ± 0.05;0.76 ± 0.43;nan ± nan;0.87 ± 0.11;0.45 ± 0.21;0.14 ± 0.21;0.02 ± 0.04;0.05 ± 0.1;0.04 ± 0.13;6.7 ± 5.03;0.1 ± 0.08;323.09 ± 219.75;0.0 ± 0.0
NG;453.74 ± 263.51;46.49 ± 23.24;0.36 ± 0.18;34.35 ± 18.02;6.07 ± 2.12;0.45 ± 0.07;1.0 ± 0.0;nan ± nan;0.93 ± 0.07;0.42 ± 0.28;0.16 ± 0.22;0.05 ± 0.06;0.03 ± 0.06;0.01 ± 0.02;1.0 ± 0.0;0.02 ± 0.0;7.5 ± 4.06;0.0 ± 0.0
