method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;best cf index
AB-CF;626.89 ± 401.09;318.37 ± 113.38;0.64 ± 0.23;241.96 ± 95.5;16.43 ± 4.69;0.84 ± 0.16;0.98 ± 0.14;nan ± nan;0.37 ± 0.13;0.63 ± 0.26;0.29 ± 0.18;0.05 ± 0.07;0.13 ± 0.18;0.02 ± 0.05;2.39 ± 0.97;0.01 ± 0.0;3.28 ± 1.38;0.0 ± 0.0
Multi-SpaCE ($p^p=0.75$);626.89 ± 401.09;43.47 ± 44.13;0.09 ± 0.09;44.42 ± 44.23;7.29 ± 3.64;0.9 ± 0.09;1.0 ± 0.0;1.0 ± 0.0;0.47 ± 0.17;0.58 ± 0.17;0.39 ± 0.2;0.08 ± 0.06;0.06 ± 0.09;0.02 ± 0.02;4.15 ± 2.43;0.02 ± 0.01;526.87 ± 161.45;43.48 ± 30.66
Multi-SpaCE ($p^p=0.5$);626.89 ± 401.09;43.43 ± 43.51;0.09 ± 0.09;44.34 ± 42.54;7.35 ± 3.47;0.91 ± 0.08;1.0 ± 0.0;1.0 ± 0.0;0.47 ± 0.17;0.58 ± 0.17;0.39 ± 0.21;0.08 ± 0.06;0.06 ± 0.09;0.02 ± 0.03;4.14 ± 2.47;0.02 ± 0.01;530.38 ± 157.6;49.85 ± 29.23
DiscoX;626.89 ± 401.09;292.01 ± 105.75;0.58 ± 0.21;166.12 ± 85.96;12.45 ± 5.02;0.54 ± 0.04;0.71 ± 0.46;nan ± nan;0.4 ± 0.12;0.08 ± 0.28;0.25 ± 0.12;0.05 ± 0.07;0.0 ± 0.01;0.0 ± 0.01;10.85 ± 10.13;0.04 ± 0.04;818.59 ± 417.58;0.0 ± 0.0
Glacier(AE);626.89 ± 401.09;500.0 ± 0.0;1.0 ± 0.0;95.68 ± 47.22;5.6 ± 2.74;0.58 ± 0.17;0.38 ± 0.49;nan ± nan;0.1 ± 0.03;0.36 ± 0.16;0.29 ± 0.16;0.0 ± 0.0;0.0 ± 0.01;0.0 ± 0.0;1.0 ± 0.0;0.0 ± 0.0;535.12 ± 85.99;0.0 ± 0.0
Glacier;626.89 ± 401.09;500.0 ± 0.0;1.0 ± 0.0;10.43 ± 9.48;0.59 ± 0.59;0.52 ± 0.05;0.2 ± 0.4;nan ± nan;0.31 ± 0.13;0.5 ± 0.13;0.3 ± 0.18;0.01 ± 0.01;0.01 ± 0.01;0.0 ± 0.0;1.0 ± 0.0;0.0 ± 0.0;241.98 ± 26.01;0.0 ± 0.0
NG;626.89 ± 401.09;213.73 ± 103.45;0.43 ± 0.21;169.01 ± 87.11;13.66 ± 4.98;0.62 ± 0.11;1.0 ± 0.0;nan ± nan;0.35 ± 0.12;0.52 ± 0.28;0.3 ± 0.18;0.02 ± 0.04;0.09 ± 0.14;0.02 ± 0.04;1.0 ± 0.0;0.0 ± 0.0;115.64 ± 70.41;0.0 ± 0.0
