method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;best cf index
AB-CF;13.5 ± 8.23;147.0 ± 57.85;0.51 ± 0.2;12.41 ± 4.72;1.33 ± 0.32;0.65 ± 0.11;1.0 ± 0.0;nan ± nan;0.98 ± 0.01;0.3 ± 0.27;0.3 ± 0.53;0.01 ± 0.01;0.02 ± 0.04;0.02 ± 0.04;1.82 ± 0.94;0.01 ± 0.01;1.29 ± 1.18;0.0 ± 0.0
Multi-SpaCE ($p^p=0.75$);13.5 ± 8.23;26.57 ± 9.6;0.09 ± 0.03;5.53 ± 1.69;1.2 ± 0.22;0.75 ± 0.1;1.0 ± 0.0;1.0 ± 0.0;0.98 ± 0.01;0.4 ± 0.27;0.46 ± 0.75;0.0 ± 0.0;0.03 ± 0.03;0.07 ± 0.11;2.96 ± 1.07;0.02 ± 0.01;111.16 ± 5.83;39.93 ± 29.65
Multi-SpaCE ($p^p=0.5$);13.5 ± 8.23;26.89 ± 9.92;0.09 ± 0.03;5.58 ± 1.69;1.21 ± 0.22;0.74 ± 0.11;1.0 ± 0.0;1.0 ± 0.0;0.98 ± 0.01;0.4 ± 0.27;0.46 ± 0.75;0.0 ± 0.0;0.03 ± 0.03;0.07 ± 0.12;2.86 ± 1.04;0.02 ± 0.01;111.16 ± 5.69;46.57 ± 25.21
DiscoX;13.5 ± 8.23;87.04 ± 35.06;0.3 ± 0.12;19.52 ± 18.23;2.93 ± 3.05;0.51 ± 0.01;1.0 ± 0.0;nan ± nan;0.96 ± 0.05;0.44 ± 0.24;3.99 ± 6.71;0.01 ± 0.01;0.08 ± 0.08;3.59 ± 6.73;10.93 ± 9.67;0.08 ± 0.07;256.6 ± 146.73;0.0 ± 0.0
Glacier(AE);13.5 ± 8.23;286.0 ± 0.0;1.0 ± 0.0;180.51 ± 2.11;12.32 ± 0.04;1.0 ± 0.0;0.46 ± 0.51;nan ± nan;0.32 ± 0.0;1.32 ± 0.01;27.42 ± 0.45;0.0 ± 0.0;0.94 ± 0.37;26.8 ± 1.11;1.0 ± 0.0;0.01 ± 0.0;215.64 ± 34.51;0.0 ± 0.0
Glacier;13.5 ± 8.23;286.0 ± 0.0;1.0 ± 0.0;4.73 ± 1.4;0.37 ± 0.11;0.5 ± 0.0;0.75 ± 0.44;nan ± nan;0.98 ± 0.01;0.41 ± 0.25;0.38 ± 0.43;0.0 ± 0.0;0.05 ± 0.06;0.04 ± 0.05;1.0 ± 0.0;0.01 ± 0.0;99.74 ± 24.26;0.0 ± 0.0
NG;13.5 ± 8.23;64.29 ± 24.84;0.22 ± 0.09;8.27 ± 2.62;1.32 ± 0.26;0.54 ± 0.04;1.0 ± 0.0;nan ± nan;0.99 ± 0.01;0.37 ± 0.28;0.44 ± 0.79;0.01 ± 0.01;0.02 ± 0.05;0.06 ± 0.11;1.0 ± 0.0;0.01 ± 0.0;10.74 ± 4.19;0.0 ± 0.0
