method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;best cf index
AB-CF;49.5 ± 29.01;59.0 ± 29.22;0.61 ± 0.3;22.21 ± 13.1;3.6 ± 1.63;0.72 ± 0.15;0.9 ± 0.3;nan ± nan;0.88 ± 0.24;0.41 ± 0.16;0.49 ± 0.35;0.14 ± 0.13;0.1 ± 0.11;0.24 ± 0.3;1.62 ± 0.8;0.03 ± 0.02;0.73 ± 4.92;0.0 ± 0.0
NG;49.5 ± 29.01;23.31 ± 18.47;0.24 ± 0.19;10.64 ± 7.82;2.83 ± 1.23;0.6 ± 0.1;1.0 ± 0.0;nan ± nan;0.83 ± 0.23;0.37 ± 0.24;0.41 ± 0.32;0.06 ± 0.07;0.02 ± 0.03;0.14 ± 0.2;1.0 ± 0.0;0.02 ± 0.0;0.67 ± 0.5;0.0 ± 0.0
