method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;best cf index
AB-CF;52.55 ± 30.34;82.6 ± 39.02;0.57 ± 0.27;43.54 ± 30.21;5.83 ± 3.15;0.77 ± 0.21;1.0 ± 0.0;nan ± nan;0.74 ± 0.31;0.26 ± 0.09;0.12 ± 0.14;0.39 ± 0.34;0.05 ± 0.05;0.06 ± 0.09;1.8 ± 0.68;0.02 ± 0.01;1.63 ± 1.29;0.0 ± 0.0
Multi-SpaCE ($p^p=0.75$);52.55 ± 30.34;30.43 ± 14.51;0.21 ± 0.1;18.21 ± 10.46;3.56 ± 1.59;0.78 ± 0.14;1.0 ± 0.0;1.0 ± 0.0;0.55 ± 0.13;0.26 ± 0.13;0.07 ± 0.1;0.19 ± 0.16;0.02 ± 0.02;0.0 ± 0.0;1.9 ± 0.59;0.03 ± 0.01;181.06 ± 23.71;50.7 ± 27.74
Multi-SpaCE ($p^p=0.5$);52.55 ± 30.34;31.03 ± 14.82;0.22 ± 0.1;18.5 ± 10.86;3.58 ± 1.62;0.79 ± 0.14;1.0 ± 0.0;1.0 ± 0.0;0.55 ± 0.14;0.26 ± 0.13;0.07 ± 0.1;0.19 ± 0.16;0.02 ± 0.02;0.0 ± 0.0;1.89 ± 0.57;0.03 ± 0.01;184.93 ± 39.81;50.61 ± 30.28
DiscoX;52.55 ± 30.34;78.67 ± 28.06;0.55 ± 0.19;49.6 ± 25.06;6.7 ± 2.59;0.41 ± 0.08;1.0 ± 0.0;nan ± nan;1.04 ± 0.31;0.45 ± 0.14;0.3 ± 0.24;0.67 ± 0.31;0.2 ± 0.12;0.19 ± 0.25;5.74 ± 3.44;0.08 ± 0.05;295.01 ± 225.72;0.0 ± 0.0
NG;52.55 ± 30.34;61.01 ± 21.26;0.42 ± 0.15;24.68 ± 12.58;3.86 ± 1.67;0.67 ± 0.17;1.0 ± 0.0;nan ± nan;0.51 ± 0.13;0.26 ± 0.11;0.07 ± 0.09;0.15 ± 0.13;0.02 ± 0.03;0.0 ± 0.01;1.0 ± 0.0;0.01 ± 0.0;8.42 ± 3.15;0.0 ± 0.0
