method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;best cf index
AB-CF;985.29 ± 574.39;390.75 ± 211.41;0.52 ± 0.28;47.87 ± 32.78;3.67 ± 2.4;0.8 ± 0.17;1.0 ± 0.0;nan ± nan;0.1 ± 0.04;0.19 ± 0.13;0.03 ± 0.04;0.01 ± 0.01;0.01 ± 0.02;0.01 ± 0.03;1.99 ± 0.75;0.01 ± 0.0;2.06 ± 1.37;0.0 ± 0.0
Multi-SpaCE ($p^p=0.75$);985.29 ± 574.39;65.07 ± 52.62;0.09 ± 0.07;13.14 ± 10.97;1.83 ± 1.13;0.76 ± 0.15;1.0 ± 0.0;1.0 ± 0.0;0.11 ± 0.04;0.2 ± 0.14;0.02 ± 0.03;0.01 ± 0.01;0.0 ± 0.01;0.0 ± 0.0;3.5 ± 2.29;0.01 ± 0.01;739.07 ± 223.6;41.51 ± 31.94
DiscoX;985.29 ± 574.39;405.09 ± 138.09;0.54 ± 0.18;145.8 ± 104.62;10.59 ± 7.01;0.33 ± 0.1;1.0 ± 0.0;nan ± nan;0.15 ± 0.05;0.33 ± 0.17;0.2 ± 0.21;0.06 ± 0.05;0.14 ± 0.16;0.17 ± 0.21;13.39 ± 12.97;0.04 ± 0.03;2729.67 ± 3033.59;0.0 ± 0.0
NG;985.29 ± 574.39;244.36 ± 189.95;0.33 ± 0.25;26.75 ± 19.97;2.21 ± 1.21;0.49 ± 0.07;1.0 ± 0.0;nan ± nan;0.1 ± 0.03;0.19 ± 0.14;0.02 ± 0.02;0.01 ± 0.01;0.01 ± 0.02;0.0 ± 0.0;1.0 ± 0.0;0.0 ± 0.0;68.02 ± 57.52;0.0 ± 0.0
