method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;best cf index
MultiSub-SpaCE;74.15 ± 41.52;13.04 ± 10.4;0.07 ± 0.06;121.15 ± 75.43;41.48 ± 14.43;0.64 ± 0.17;1.0 ± 0.0;1.0 ± 0.0;0.73 ± 0.13;0.64 ± 0.17;0.86 ± 0.11;0.02 ± 0.04;0.06 ± 0.08;0.06 ± 0.09;1.87 ± 1.05;0.02 ± 0.01;32.95 ± 3.0;21.92 ± 23.53
AB-CF;74.15 ± 41.52;105.46 ± 48.11;0.59 ± 0.27;402.15 ± 185.31;59.71 ± 20.29;0.62 ± 0.18;0.79 ± 0.41;nan ± nan;0.74 ± 0.17;0.62 ± 0.18;0.86 ± 0.14;0.05 ± 0.07;0.08 ± 0.11;0.06 ± 0.1;13.16 ± 4.63;0.15 ± 0.05;1.36 ± 1.16;0.0 ± 0.0
COMTE;74.15 ± 41.52;87.28 ± 8.62;0.48 ± 0.05;417.16 ± 96.23;67.76 ± 11.51;0.91 ± 0.09;1.0 ± 0.0;nan ± nan;0.74 ± 0.11;0.65 ± 0.12;0.87 ± 0.1;0.06 ± 0.07;0.08 ± 0.11;0.08 ± 0.11;2.92 ± 0.31;0.03 ± 0.0;1433.52 ± 166.68;0.0 ± 0.0
DiscoX;74.15 ± 41.52;27.0 ± 15.28;0.15 ± 0.08;102.53 ± 62.38;32.31 ± 13.96;0.4 ± 0.06;0.37 ± 0.49;nan ± nan;0.75 ± 0.14;0.64 ± 0.15;0.86 ± 0.08;0.03 ± 0.05;0.03 ± 0.05;0.04 ± 0.05;13.68 ± 7.08;0.15 ± 0.08;281.67 ± 162.38;0.0 ± 0.0
