method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;outlier_score;increase_outlier_score;subsequences;subsequences %;times;best cf index
AB-CF;167.28 ± 108.07;162.68 ± 46.53;0.69 ± 0.2;10.54 ± 9.98;1.08 ± 0.89;0.81 ± 0.16;0.82 ± 0.39;nan ± nan;0.41 ± 0.2;0.14 ± 0.15;2.12 ± 0.62;0.02 ± 0.01;1.7 ± 1.09;0.0 ± 0.0
multisubspace_gknn_75_0_25;167.28 ± 108.07;11.41 ± 8.59;0.05 ± 0.04;0.7 ± 0.65;0.23 ± 0.19;0.91 ± 0.09;1.0 ± 0.0;1.0 ± 0.0;0.32 ± 0.15;0.06 ± 0.05;1.94 ± 1.03;0.02 ± 0.01;54.31 ± 5.95;50.11 ± 32.08
DiscoX;167.28 ± 108.07;106.25 ± 52.5;0.45 ± 0.22;17.27 ± 26.72;2.23 ± 3.33;0.53 ± 0.03;0.87 ± 0.34;nan ± nan;0.74 ± 0.74;0.48 ± 0.7;11.83 ± 10.54;0.1 ± 0.09;249.75 ± 177.15;0.0 ± 0.0
Glacier(AE);167.28 ± 108.07;235.0 ± 0.0;1.0 ± 0.0;2.98 ± 1.37;0.25 ± 0.13;0.53 ± 0.09;0.7 ± 0.46;nan ± nan;0.18 ± 0.08;0.0 ± 0.01;1.0 ± 0.0;0.01 ± 0.0;85.47 ± 23.69;0.0 ± 0.0
Glacier;167.28 ± 108.07;235.0 ± 0.0;1.0 ± 0.0;0.65 ± 0.37;0.05 ± 0.04;0.51 ± 0.02;0.98 ± 0.14;nan ± nan;0.28 ± 0.15;0.03 ± 0.04;1.0 ± 0.0;0.01 ± 0.0;70.76 ± 23.11;0.0 ± 0.0
NG;167.28 ± 108.07;88.56 ± 52.64;0.38 ± 0.22;5.32 ± 4.78;0.74 ± 0.64;0.69 ± 0.16;1.0 ± 0.0;nan ± nan;0.35 ± 0.22;0.1 ± 0.13;1.0 ± 0.0;0.01 ± 0.0;10.7 ± 6.95;0.0 ± 0.0
