method;ii;nchanges;sparsity;L1;L2;proba;valid;nuns_valid;AE_OS;IF_OS;LOF_OS;AE_IOS;IF_IOS;LOF_IOS;subsequences;subsequences %;times;best cf index
AB-CF;73.78 ± 40.93;83.7 ± 38.68;0.56 ± 0.26;19.19 ± 10.46;3.07 ± 1.72;0.82 ± 0.16;1.0 ± 0.0;nan ± nan;0.78 ± 0.09;0.2 ± 0.14;0.1 ± 0.12;0.03 ± 0.05;0.03 ± 0.05;0.01 ± 0.01;1.91 ± 0.53;0.03 ± 0.01;1.63 ± 1.27;0.0 ± 0.0
Multi-SpaCE ($p^p=0.75$);73.78 ± 40.93;21.52 ± 10.48;0.14 ± 0.07;9.0 ± 6.44;2.27 ± 1.65;0.8 ± 0.14;1.0 ± 0.0;1.0 ± 0.0;0.8 ± 0.07;0.21 ± 0.15;0.11 ± 0.15;0.02 ± 0.03;0.02 ± 0.04;0.0 ± 0.01;1.48 ± 0.64;0.02 ± 0.01;190.28 ± 23.51;45.21 ± 29.22
DiscoX;73.78 ± 40.93;56.01 ± 28.9;0.37 ± 0.19;25.71 ± 21.97;4.1 ± 2.85;0.52 ± 0.03;0.91 ± 0.29;nan ± nan;0.85 ± 0.19;0.29 ± 0.15;0.2 ± 0.27;0.08 ± 0.16;0.09 ± 0.1;0.09 ± 0.21;4.95 ± 5.18;0.07 ± 0.07;255.57 ± 224.07;0.0 ± 0.0
Glacier(AE);73.78 ± 40.93;150.0 ± 0.0;1.0 ± 0.0;40.11 ± 4.11;4.02 ± 0.29;0.93 ± 0.15;0.3 ± 0.46;nan ± nan;0.58 ± 0.05;0.35 ± 0.08;0.11 ± 0.12;0.0 ± 0.0;0.15 ± 0.08;0.01 ± 0.01;1.0 ± 0.0;0.01 ± 0.0;138.99 ± 20.16;0.0 ± 0.0
Glacier;73.78 ± 40.93;150.0 ± 0.0;1.0 ± 0.0;4.13 ± 2.24;0.43 ± 0.24;0.5 ± 0.01;0.38 ± 0.49;nan ± nan;0.76 ± 0.05;0.16 ± 0.12;0.08 ± 0.05;0.0 ± 0.01;0.01 ± 0.01;0.0 ± 0.0;1.0 ± 0.0;0.01 ± 0.0;127.4 ± 27.72;0.0 ± 0.0
NG;73.78 ± 40.93;33.76 ± 23.47;0.23 ± 0.16;10.12 ± 7.92;2.31 ± 1.66;0.6 ± 0.13;1.0 ± 0.0;nan ± nan;0.81 ± 0.1;0.21 ± 0.16;0.11 ± 0.15;0.03 ± 0.04;0.03 ± 0.04;0.01 ± 0.02;1.0 ± 0.0;0.01 ± 0.0;9.38 ± 5.82;0.0 ± 0.0
